transcript_id,company_ticker,filing_date,filing_year,mean_evasion_score,evasion_variance,max_evasion_score,n_pairs,car_3day,car_direction,car_date_estimated,revenue_growth,gross_margin,operating_margin,roa,lm_positive,lm_negative,lm_uncertainty,lm_litigious,prepared_remarks_fallback
000004392021000022,GEF,2021-02-26,2021,19.27083333333333,329.9597537878788,68.75,12,0.0376801721399271,1,False,-1.2744338241625763,0.1850850414304404,0.0610553859572612,0.004203643157403,0.0257370145063172,0.0140383715489003,0.0154422087037903,0.0009358914365933,False
000004392021000041,GEF,2021-06-11,2021,16.796875,159.99348958333334,43.75,16,0.0508739336996704,1,False,16.92978630614915,0.1983440250634044,0.1496344920184991,0.0268079242649295,0.0245372363323288,0.0086095566078346,0.0103314679294016,0.0025828669823504,False
000004392021000061,GEF,2021-09-03,2021,28.75,127.23214285714286,43.75,15,-0.0197209006558551,0,False,11.203938534984337,0.2138449154816206,0.1161121545478937,0.0197428192046963,0.0234761120263591,0.0107084019769357,0.0098846787479406,0.0004118616144975,False
000111080320000009,ILMN,2020-01-16,2020,31.25,371.09375000000006,62.5,5,-0.0700882306132516,0,False,5.071664829106946,0.6946484784889821,,0.0326681246582832,0.0254041570438799,0.0039590894094358,0.0105575717584955,0.0013196964698119,False
000076374419000011,LCII,2019-02-08,2019,27.232142857142858,153.88907967032964,50.0,14,0.0513333832632956,1,False,-11.192167402572473,0.1924169238338029,,0.0162224564331497,0.0248412917471708,0.0082804305823902,0.0096605023461219,0.000828043058239,False
000076374419000036,LCII,2019-05-08,2019,28.94736842105263,278.6915204678362,68.75,19,0.0394602774412082,1,False,10.353027118088168,0.223911296042366,0.0806437994366501,0.0255975378216544,0.0302267002518891,0.0071968333933069,0.0086362000719683,0.0007196833393306,False
000076374419000077,LCII,2019-08-07,2019,25.0,97.65625,37.5,9,0.0563176945436512,1,False,6.230622184095162,0.2363067267767554,0.1043718644089351,0.0357287033187768,0.031875,0.009375,0.0075,0.000625,False
000076374419000111,LCII,2019-11-06,2019,20.83333333333333,73.39015151515152,31.25,12,0.009670861064097,1,False,-6.811187343816568,0.2310954401155878,0.0838472180286956,0.0253100586437925,0.0341776014647543,0.0061031431187061,0.0064083002746414,0.0012206286237412,False
000076374419000127,LCII,2019-11-25,2019,28.61842105263158,235.74561403508773,56.25,19,0.009670861064097,1,False,-6.811187343816568,0.2310954401155878,0.0838472180286956,0.0253100586437925,0.034,0.0046666666666666,0.0073333333333333,0.0013333333333333,False
000121390021060097,LGMK,2021-11-16,2021,35.0,167.96875,43.75,5,-0.1069717677385823,0,False,-14.35885825179914,0.4731725883319087,-0.2085090026180965,-0.0167138643075529,0.0152709359605911,0.0157635467980295,0.0034482758620689,0.0019704433497536,False
000155837021015796,MRAM,2021-11-12,2021,30.28846153846154,246.3942307692308,62.5,13,-0.1241462560023815,0,False,24.87339635381499,0.571003717472119,0.0726596823251098,0.025214177244205,0.0159829515183803,0.0042621204049014,0.0074587107085775,0.003196590303676,False
000119312519280519,MSTR,2019-10-31,2019,37.5,253.90625,50.0,5,0.0720118112766277,1,False,1.6613299132812964,0.8010326418420459,0.0383146884111852,0.0109146228941529,0.0230083405234397,0.0069025021570319,0.0071901064135749,0.0011504170261719,False
